config,config_str,total_cost,avg_cost,total_time,avg_time,total_input_tokens,total_output_tokens,avg_not_available_features,avg_features_extracted
"{'max_missing_feature_attempts': 0, 'max_low_confidence_attempts': 0}",miss:0_low:0,0.29804,0.019869333333333336,267.09111046791077,17.80607403119405,31516,14046,7.933333333333334,36.13333333333333
"{'max_missing_feature_attempts': 1, 'max_low_confidence_attempts': 0}",miss:1_low:0,0.5984100000000001,0.039894000000000006,1046.0762181282043,69.73841454188029,86018,16832,6.666666666666667,34.46666666666667
"{'max_missing_feature_attempts': 1, 'max_low_confidence_attempts': 1}",miss:1_low:1,0.578675,0.03857833333333334,1022.5780079364777,68.17186719576517,82019,16858,7.266666666666667,34.733333333333334
"{'max_missing_feature_attempts': 2, 'max_low_confidence_attempts': 0}",miss:2_low:0,0.7303550000000001,0.04869033333333334,1797.4982695579529,119.83321797053019,112105,16983,6.466666666666667,33.13333333333333
"{'max_missing_feature_attempts': 2, 'max_low_confidence_attempts': 1}",miss:2_low:1,0.5882450000000001,0.03921633333333334,1616.044671535492,107.73631143569946,88653,14498,6.866666666666666,30.4
"{'max_missing_feature_attempts': 2, 'max_low_confidence_attempts': 2}",miss:2_low:2,0.7243099999999999,0.04828733333333333,1389.019520998001,92.60130139986674,111292,16785,6.533333333333333,32.666666666666664
"{'max_missing_feature_attempts': 3, 'max_low_confidence_attempts': 0}",miss:3_low:0,0.7552350000000002,0.05034900000000001,1936.6166694164276,129.10777796109517,118847,16100,6.466666666666667,27.8
"{'max_missing_feature_attempts': 3, 'max_low_confidence_attempts': 1}",miss:3_low:1,0.7618650000000002,0.05079100000000002,1571.1359419822693,104.74239613215128,123527,14423,4.666666666666667,23.4
"{'max_missing_feature_attempts': 3, 'max_low_confidence_attempts': 2}",miss:3_low:2,0.8098299999999999,0.053988666666666664,4281.124614715576,285.4083076477051,126794,17586,6.2,31.466666666666665
"{'max_missing_feature_attempts': 3, 'max_low_confidence_attempts': 3}",miss:3_low:3,0.87222,0.058148,2705.56209397316,180.37080626487733,138020,18212,6.6,31.733333333333334
