id,config,extracted_data,usage_data,raw_data_length
EmNANO-i2300-E3825,"{'max_missing_feature_attempts': 0, 'max_low_confidence_attempts': 0}","{'name': 'EMNANOIE', 'manufacturer': 'ARBOR TECHNOLOGY', 'form_factor': 'COM Express Mini', 'evaluation_or_commercialization': True, 'processor_architecture': 'x86', 'processor_core_count': 'Not Available', 'processor_manufacturer': 'INTEL', 'processor_tdp': 'Not Available', 'memory': '4GB DDR3L SDRAM', 'onboard_storage': 'Not Available', 'input_voltage': 'Not Available', 'io_count': ['4 x USB ports', '1 x USB port', '1 x Serial Port', '2 x PCIe x1 Gen2 lanes', '1 x SPI', '1 x LPC', '2 x Serial ATA ports', '1 x Intel i210 PCIe GbE controller', '1 x SDIO', '1 x I2C', '1 x HD Audio link', '1 x Analog RGB', '1 x FPC connector', '1 x eDP', '1 x DDI port', '1 x Single Channel 18/24-bit LVDS port'], 'wireless': 'Not Available', 'operating_system_bsp': 'Not Available', 'operating_temperature_max': 'Not Available', 'operating_temperature_min': 'Not Available', 'certifications': 'Not Available', 'price': 'Not Available', 'stock_availability': 'Not Available', 'lead_time': 'Not Available', 'short_summary': 'Intel Atom E series processor COM Express Mini Type CPU Module with soldered onboard Intel Atom E series SoC processor.', 'full_summary': 'The EMNANOIE is a COM Express Mini Type CPU Module featuring an Intel Atom E series processor, integrated Gigabit Ethernet, multiple display support, and various I/O interfaces.', 'full_product_description': 'The EMNANOIE is a COM Express Mini Type CPU Module with a soldered onboard Intel Atom E series SoC processor. It includes integrated Gigabit Ethernet, multiple display interfaces (DDI, LVDS), USB ports, serial ports, and supports dual independent displays. The module also features extended operating temperature range, various power requirements, and multiple expansion options including PCIe, SPI, LPC, and SATA.', 'target_applications': 'Not Available'}","{'extract_features': [{'input_tokens': 1133, 'output_tokens': 868, 'time_taken': 13.71907091140747}], 'store_and_chunk_data': [{'input_tokens': 0, 'output_tokens': 0, 'time_taken': 4.059242010116577}]}",2003
conga-B7XDslashP-D1508,"{'max_missing_feature_attempts': 0, 'max_low_confidence_attempts': 0}","{'name': 'CONGABXD', 'manufacturer': 'CONGATEC', 'form_factor': 'COM EXPRESS BASIC 125 X 95 MM', 'evaluation_or_commercialization': False, 'processor_architecture': 'X86', 'processor_core_count': 'UP TO 16 CORES', 'processor_manufacturer': 'INTEL', 'processor_tdp': 'UP TO 65W', 'memory': 'DUAL CHANNEL DDR4 2400 MT/S, UP TO 64GB', 'onboard_storage': 'Not Available', 'input_voltage': 'Not Available', 'io_count': ['4x USB 3.0', '8x USB 2.0', '4x SATA III', '1x LPC', '1x SPI', '1x I2C', '2x UART', '2x GbE KR'], 'wireless': 'Not Available', 'operating_system_bsp': ['WINDOWS 10', 'WINDOWS SERVER 2016', 'WINDOWS SERVER 2019', 'RHEL', 'SUSE', 'FEDORA', 'UBUNTU', 'CENTOS', 'FREEBSD', 'VMWARE', 'HYPERV', 'XEN', 'ESXI'], 'operating_temperature_max': '85C', 'operating_temperature_min': '-40C', 'certifications': 'Not Available', 'price': 'Not Available', 'stock_availability': 'Not Available', 'lead_time': 'Not Available', 'short_summary': 'COM Express Type 7 module with Intel Xeon D processors, up to 16 cores, dual channel DDR4 memory, and extensive I/O interfaces.', 'full_summary': 'The CONGABXD is a COM Express Type 7 module featuring Intel Xeon D processors with up to 16 cores, dual channel DDR4 memory up to 64GB, and a wide range of I/O interfaces including USB, SATA, LPC, SPI, I2C, UART, and GbE KR. It supports various operating systems and is suitable for industrial and server-class applications.', 'full_product_description': 'The CONGABXD COM Express Type 7 module is designed for high-performance computing in industrial and server-class applications. It features Intel Xeon D processors with up to 16 cores and a thermal design power (TDP) of up to 65W. The module supports dual channel DDR4 memory with speeds up to 2400 MT/s and capacities up to 64GB. Extensive I/O interfaces include 4x USB 3.0, 8x USB 2.0, 4x SATA III, LPC, SPI, I2C, UART, and 2x GbE KR. The module is compatible with a wide range of operating systems including Windows, Linux, and various hypervisors.', 'target_applications': ['INDUSTRIAL AUTOMATION', 'SERVER-CLASS APPLICATIONS', 'NETWORKING', 'EDGE COMPUTING']}","{'extract_features': [{'input_tokens': 2695, 'output_tokens': 1048, 'time_taken': 16.210611820220947}], 'store_and_chunk_data': [{'input_tokens': 0, 'output_tokens': 0, 'time_taken': 5.5936439037323}]}",8169
NANO-ADL-P-i5C-R10,"{'max_missing_feature_attempts': 0, 'max_low_confidence_attempts': 0}","{'name': 'NANOADLP', 'manufacturer': 'IEI', 'form_factor': 'EPIC SBC', 'evaluation_or_commercialization': False, 'processor_architecture': 'x86', 'processor_core_count': 'Not Available', 'processor_manufacturer': 'Intel', 'processor_tdp': 'Not Available', 'memory': '8GB LPDDR4x 4266MHz', 'onboard_storage': 'Not Available', 'input_voltage': '12V DC', 'io_count': ['2x HDMI', '2x DP', '2x USB 3.2 Gen 2', '4x USB 2.0', '2x SATA 6Gb/s', '2x RS-232', '2x RS-422/485', '2x GbE LAN', '1x PCIe x4', '1x PCIe x1', '1x M.2 A Key', '1x M.2 B Key'], 'wireless': 'WiFi, Bluetooth', 'operating_system_bsp': 'Not Available', 'operating_temperature_max': '60°C', 'operating_temperature_min': '0°C', 'certifications': ['CE', 'FCC', 'RoHS'], 'price': 'Not Available', 'stock_availability': 'Not Available', 'lead_time': 'Not Available', 'short_summary': 'High-performance EPIC SBC with Intel Alder Lake-P processor, 8GB LPDDR4x memory, and extensive I/O options.', 'full_summary': 'The NANOADLP is an EPIC SBC that supports Intel Alder Lake-P processors, offering high performance and multitasking capabilities. It features 8GB of LPDDR4x memory, dual HDMI and DP outputs, multiple USB and SATA ports, and expansion options including PCIe and M.2 slots.', 'full_product_description': 'The NANOADLP EPIC SBC is designed for high-performance applications, featuring Intel Alder Lake-P processors and 8GB of LPDDR4x memory. It supports dual HDMI and DP outputs, multiple USB and SATA ports, and offers expansion options through PCIe and M.2 slots. The board is equipped with Intel I225-V GbE network controllers for high-speed networking and supports various display interfaces through the iDPM interface.', 'target_applications': ['Industrial Automation', 'Digital Signage', 'Medical Devices', 'IoT Gateways']}","{'extract_features': [{'input_tokens': 1969, 'output_tokens': 893, 'time_taken': 14.183962106704712}], 'store_and_chunk_data': [{'input_tokens': 0, 'output_tokens': 0, 'time_taken': 5.44307804107666}]}",4364
81P-0001,"{'max_missing_feature_attempts': 0, 'max_low_confidence_attempts': 0}","{'name': 'CONTROL BOARD', 'manufacturer': 'GRAVES ELECTRONICS LLC', 'form_factor': 'Not Available', 'evaluation_or_commercialization': 'False', 'processor_architecture': 'Not Available', 'processor_core_count': 'Not Available', 'processor_manufacturer': 'MICROCHIP', 'processor_tdp': 'Not Available', 'memory': 'Not Available', 'onboard_storage': 'Not Available', 'input_voltage': '7-24V DC', 'io_count': '8 IO lines, 4 MOSFET outputs', 'wireless': 'Not Available', 'operating_system_bsp': 'Not Available', 'operating_temperature_max': 'Not Available', 'operating_temperature_min': 'Not Available', 'certifications': 'Not Available', 'price': 'Not Available', 'stock_availability': 'Not Available', 'lead_time': 'Not Available', 'short_summary': 'A versatile control board with RS232/RS485 communication, 8 IO lines, and 4 MOSFET outputs.', 'full_summary': 'The control board is built around the powerful PIC18F45K22 microcontroller from Microchip. It offers features expected from an industrial controller board, including RS232/RS485 communication, 8 IO lines, and 4 MOSFET outputs. The board supports expansion modules via SPI and I2C buses.', 'full_product_description': 'The control board bridges the gap between hobbyist maker boards and custom-designed circuit boards. It features a PIC18F45K22 microcontroller, RS232/RS485 communication, 8 IO lines, 4 MOSFET outputs, and two expansion module ports for SPI and I2C communication. The board uses pluggable headers for easy wiring and field service.', 'target_applications': ['Industrial control', 'Automation', 'Hobbyist projects']}","{'extract_features': [{'input_tokens': 3977, 'output_tokens': 765, 'time_taken': 13.403364181518555}], 'store_and_chunk_data': [{'input_tokens': 0, 'output_tokens': 0, 'time_taken': 5.481733083724976}]}",16261
ESRP-CMS-U2271V2,"{'max_missing_feature_attempts': 0, 'max_low_confidence_attempts': 0}","{'name': 'ESRP-CMSU-V', 'manufacturer': 'ADVANTECH', 'form_factor': 'Pocket-Size', 'evaluation_or_commercialization': False, 'processor_architecture': 'x86', 'processor_core_count': 2, 'processor_manufacturer': 'INTEL', 'processor_tdp': 'Not Available', 'memory': '4GB DDR4 2400MHz onboard', 'onboard_storage': 'mSATA', 'input_voltage': '12VDC', 'io_count': ['2x RJ45 LAN Ports', '2x USB 3.1 Gen 1', '1x HDMI'], 'wireless': 'Not Available', 'operating_system_bsp': 'ThinManager', 'operating_temperature_max': '60°C', 'operating_temperature_min': '0°C', 'certifications': ['CE', 'FCC', 'UL', 'CCC', 'BSMI', 'RoHS'], 'price': 'Not Available', 'stock_availability': 'Not Available', 'lead_time': 'Not Available', 'short_summary': 'Advantech ESRP-CMSU-V ThinManager Ready Pocket-Size Edge IoT Thin Client with Intel Celeron N.', 'full_summary': 'Advantech ESRP-CMSU-V is a ThinManager Ready Pocket-Size Edge IoT Thin Client featuring Intel Celeron N, dual-core processor, 4GB DDR4 memory, and mSATA storage. It supports multiple mounting options and is designed for industrial applications.', 'full_product_description': 'The Advantech ESRP-CMSU-V ThinManager Ready Pocket-Size Edge IoT Thin Client is equipped with an Intel Celeron N dual-core processor, 4GB DDR4 2400MHz onboard memory, and mSATA storage. It features 2x RJ45 LAN ports, 2x USB 3.1 Gen 1 ports, and 1x HDMI output. The system is fanless, robust, and cable-free, with multiple mounting options including stand, wall, VESA, and DIN rail. It is certified with CE, FCC, UL, CCC, BSMI, and RoHS compliance.', 'target_applications': ['Industrial IoT', 'Edge Computing', 'Thin Client Applications']}","{'extract_features': [{'input_tokens': 1082, 'output_tokens': 897, 'time_taken': 13.593729972839355}], 'store_and_chunk_data': [{'input_tokens': 0, 'output_tokens': 0, 'time_taken': 5.289596319198608}]}",2122
SCMD30XP2,"{'max_missing_feature_attempts': 0, 'max_low_confidence_attempts': 0}","{'name': 'STRATO PI CM DUO', 'manufacturer': 'SFERA LABS', 'form_factor': 'DIN RAIL CASE', 'evaluation_or_commercialization': False, 'processor_architecture': 'ARM', 'processor_core_count': 'Not Available', 'processor_manufacturer': 'BROADCOM', 'processor_tdp': 'Not Available', 'memory': 'Not Available', 'onboard_storage': 'eMMC', 'input_voltage': '9-28 VDC', 'io_count': ['RS232', 'ETHERNET', '2x USB TYPE-A', 'GPIO'], 'wireless': 'Not Available', 'operating_system_bsp': ['RASPBIAN'], 'operating_temperature_max': 'Not Available', 'operating_temperature_min': 'Not Available', 'certifications': ['CE', 'FCC', 'RCM'], 'price': 'Not Available', 'stock_availability': 'Not Available', 'lead_time': 'Not Available', 'short_summary': 'Compact industrial server based on Raspberry Pi Compute Module.', 'full_summary': 'Strato Pi CM Duo is a powerful, compact industrial server based on the Raspberry Pi Compute Module, suitable for professional and industrial applications where reliability and service continuity are key requirements.', 'full_product_description': 'Strato Pi CM Duo is housed in a compact DIN rail case and is available in several versions with pre-installed Raspberry Pi Compute Modules (8GB, 16GB, 32GB eMMC). It features a 9-28 VDC power supply with surge and reverse polarity protection, a replaceable CR2032 lithium manganese dioxide backup battery, RS232 interface, Ethernet port, two USB Type-A ports, dual microSD card architecture, hardware watchdog, and an embedded Microchip ATECC608A secure element chip.', 'target_applications': ['INDUSTRIAL AUTOMATION', 'IOT GATEWAYS', 'EDGE COMPUTING']}","{'extract_features': [{'input_tokens': 3798, 'output_tokens': 786, 'time_taken': 11.706215858459473}], 'store_and_chunk_data': [{'input_tokens': 0, 'output_tokens': 0, 'time_taken': 4.043738126754761}]}",32061
LEC-iMX8MP-Q-N-2G-32G-BW-CT,"{'max_missing_feature_attempts': 0, 'max_low_confidence_attempts': 0}","{'name': 'LECIMXMP SMARC SHORT SIZE MODULE', 'manufacturer': 'ADLINK TECHNOLOGY', 'form_factor': 'SMARC SHORT SIZE MODULE 82MM X 50MM', 'evaluation_or_commercialization': False, 'processor_architecture': 'ARM', 'processor_core_count': '4', 'processor_manufacturer': 'NXP', 'processor_tdp': 'Not Available', 'memory': '4GB LPDDR4', 'onboard_storage': '64GB EMMC', 'input_voltage': '5V DC', 'io_count': ['USB 2.0 x 4', 'USB 3.0 x 2', 'Dual GbE ports', 'CAN x 2', 'PCIe x 2', 'UART x 3', 'SPI x 2', 'I2C x 4', 'GPIO x 12'], 'wireless': ['Wi-Fi IEEE 802.11 a/b/g/n/ac', 'Bluetooth 5.0'], 'operating_system_bsp': ['Yocto Linux BSP', 'Android', 'VxWorks'], 'operating_temperature_max': '85°C', 'operating_temperature_min': '-40°C', 'certifications': ['IEC 60068-2-27', 'IEC 60068-2-64', 'MIL-STD-810F'], 'price': 'Not Available', 'stock_availability': 'Not Available', 'lead_time': 'Not Available', 'short_summary': 'LECIMXMP SMARC Short Size Module with NXP i.MX 8M Plus Quad-core ARM Cortex-A53, 4GB LPDDR4, 64GB eMMC, and rugged operating temperature range.', 'full_summary': 'The LECIMXMP SMARC Short Size Module features the NXP i.MX 8M Plus Quad-core ARM Cortex-A53 processor, 4GB LPDDR4 memory, 64GB eMMC storage, and supports a wide range of I/O interfaces including USB, Ethernet, CAN, PCIe, UART, SPI, and I2C. It is designed for rugged environments with an operating temperature range of -40°C to 85°C.', 'full_product_description': 'The LECIMXMP SMARC Short Size Module by ADLINK Technology is powered by the NXP i.MX 8M Plus Quad-core ARM Cortex-A53 processor. It includes 4GB of LPDDR4 memory and 64GB of eMMC storage. The module supports various I/O interfaces such as USB 2.0, USB 3.0, dual GbE ports, CAN, PCIe, UART, SPI, and I2C. It also features wireless capabilities with Wi-Fi IEEE 802.11 a/b/g/n/ac and Bluetooth 5.0. The module is compliant with SMARC 2.1 specifications and is designed for rugged environments with an operating temperature range of -40°C to 85°C. It supports multiple operating systems including Yocto Linux BSP, Android, and VxWorks.', 'target_applications': ['Industrial Automation', 'IoT Gateways', 'Smart Home', 'Medical Devices', 'Digital Signage']}","{'extract_features': [{'input_tokens': 2213, 'output_tokens': 1102, 'time_taken': 13.997375965118408}], 'store_and_chunk_data': [{'input_tokens': 0, 'output_tokens': 0, 'time_taken': 3.122335910797119}]}",5653
uLCD-220RD-Pi,"{'max_missing_feature_attempts': 0, 'max_low_confidence_attempts': 0}","{'name': 'ULCDRD', 'manufacturer': 'D SYSTEMS', 'form_factor': 'Round LCD', 'evaluation_or_commercialization': False, 'processor_architecture': 'Not Available', 'processor_core_count': 'Not Available', 'processor_manufacturer': 'D SYSTEMS', 'processor_tdp': 'Not Available', 'memory': 'Not Available', 'onboard_storage': 'microSD memory cards', 'input_voltage': 'Not Available', 'io_count': 'PWM Sound, general-purpose IO, Analog Inputs, multiple TTL Serial, I2C, SPI channels', 'wireless': 'Not Available', 'operating_system_bsp': 'Not Available', 'operating_temperature_max': 'Not Available', 'operating_temperature_min': 'Not Available', 'certifications': 'Not Available', 'price': 'Not Available', 'stock_availability': 'Not Available', 'lead_time': 'Not Available', 'short_summary': ""The uLCDRD is a unique Round LCD Intelligent Display Module powered by D Systems' DIABLO Graphics Processor."", 'full_summary': 'The uLCDRD features a round LCD display with a diameter of pixels, powered by the DIABLO Graphics Processor. It is designed for applications such as gauges, instruments, and robotics. The DIABLO processor offers considerable FLASH and RAM upgrades over the PICASO processor and provides mappable functions including I2C, SPI, Serial, PWM, Pulse Out, Quadrature Input, and various GPIO.', 'full_product_description': ""The uLCDRD is a unique Round LCD Intelligent Display Module powered by D Systems' DIABLO Graphics Processor. It is designed for applications such as gauges, instruments, and robotics. The round LCD has a diameter of pixels, with a round configuration instead of the normal square configuration found in TFT LCD displays. The DIABLO processor is a powerful chip that enables standalone functionality and can be programmed using D Systems' Workshop IDE Software. The module features PWM Sound, microSD memory storage, general-purpose IO including Analog Inputs, multiple TTL Serial, I2C, and SPI channels, and multiple millisecond resolution timers."", 'target_applications': ['Gauges', 'Instruments', 'Special applications', 'Robotics']}","{'extract_features': [{'input_tokens': 1090, 'output_tokens': 848, 'time_taken': 11.613548994064331}], 'store_and_chunk_data': [{'input_tokens': 0, 'output_tokens': 0, 'time_taken': 2.7257909774780273}]}",2453
ASMB-975-00A1,"{'max_missing_feature_attempts': 0, 'max_low_confidence_attempts': 0}","{'name': 'ASMB', 'manufacturer': 'ADVANTECH', 'form_factor': 'Proprietary 305 x 330 mm', 'evaluation_or_commercialization': False, 'processor_architecture': 'x86', 'processor_core_count': 'Not Available', 'processor_manufacturer': 'INTEL', 'processor_tdp': '205W', 'memory': 'DDR4 ECC REG 2666 MHz, up to 768GB LRDIMM or 384GB RDIMM', 'onboard_storage': 'Not Available', 'input_voltage': '12V, 5V, 3.3V, 5Vsb', 'io_count': ['4 x PCIe x16 slots', '2 x USB 3.0 ports', '2 x USB 2.0 ports', '1 x VGA port', '2 x RJ45 LAN ports'], 'wireless': 'Not Available', 'operating_system_bsp': 'Not Available', 'operating_temperature_max': '40°C', 'operating_temperature_min': '0°C', 'certifications': 'Not Available', 'price': 'Not Available', 'stock_availability': 'Not Available', 'lead_time': 'Not Available', 'short_summary': 'Proprietary server board with dual Intel Xeon Scalable processors, DDR4 ECC memory, and multiple PCIe slots.', 'full_summary': 'The ASMB is a proprietary server board designed by Advantech, featuring dual Intel Xeon Scalable processors, support for DDR4 ECC memory up to 768GB, multiple PCIe slots, and dual GbE LAN ports.', 'full_product_description': 'The ASMB server board by Advantech is equipped with dual Intel Xeon Scalable processors, supporting up to 768GB of DDR4 ECC memory. It includes four PCIe x16 slots, dual GbE LAN ports, and various I/O interfaces such as USB and VGA. The board is designed for high-performance computing applications and offers robust remote management capabilities.', 'target_applications': ['Data Centers', 'High-Performance Computing', 'Enterprise Servers']}","{'extract_features': [{'input_tokens': 1902, 'output_tokens': 842, 'time_taken': 11.612409114837646}], 'store_and_chunk_data': [{'input_tokens': 0, 'output_tokens': 0, 'time_taken': 2.969360828399658}]}",4503
DS-081GB-U2A1E,"{'max_missing_feature_attempts': 0, 'max_low_confidence_attempts': 0}","{'name': 'DS ULTRASLIM FANLESS DIGITAL SIGNAGE PLAYER', 'manufacturer': 'ADVANTECH', 'form_factor': 'ULTRASLIM', 'evaluation_or_commercialization': False, 'processor_architecture': 'x86', 'processor_core_count': '2', 'processor_manufacturer': 'INTEL', 'processor_tdp': 'Not Available', 'memory': 'DDR3 1600MHz, Max Capacity 16GB', 'onboard_storage': 'SATA 2.5 inch HDD/SSD, mSATA', 'input_voltage': '12V DC-in', 'io_count': ['HDMI x2', 'USB x4', 'LAN x2', 'Serial Port x1', 'Audio SPDIF/Line-out', 'Mic-in', 'MiniPCIe x1'], 'wireless': 'Optional Wi-Fi, HSDPA', 'operating_system_bsp': ['Windows Embedded', 'Linux'], 'operating_temperature_max': '50°C', 'operating_temperature_min': '0°C', 'certifications': ['EMC CE/FCC Class B', 'CCC', 'BSMI', 'Safety UL/CB/CCC/BSMI'], 'price': 'Not Available', 'stock_availability': 'Not Available', 'lead_time': 'Not Available', 'short_summary': 'DS Ultraslim Fanless Digital Signage Player with 6th/7th Generation Intel Core/Celeron Mobile-U processor, dual HDMI display, fanless design, and highly expandable via MiniPCIe.', 'full_summary': ""The DS Ultraslim Fanless Digital Signage Player is the world's slimmest digital signage player powered by 6th/7th Generation Intel Core/Celeron Mobile-U processors. It features dual HDMI display outputs with up to 4K UHD resolution, fanless and cableless design for easy maintenance, and is highly expandable via internal MiniPCIe interface. It supports Windows Embedded OS and Linux, and comes with Advantech WISE-PaaS/SignageCMS for web-based content management."", 'full_product_description': ""The DS Ultraslim Fanless Digital Signage Player measures just 19mm thick, making it the world's slimmest digital signage player. It is powered by 6th/7th Generation Intel Core/Celeron Mobile-U processors and features dual HDMI display outputs capable of achieving 4K UHD resolution. The fanless and cableless design ensures easy maintenance, and the player is highly expandable via an internal MiniPCIe interface. It supports Windows Embedded OS and Linux, and includes Advantech WISE-PaaS/SignageCMS for intuitive signage content management and remote monitoring. The player also supports various I/O interfaces including HDMI, USB, LAN, and serial ports, and offers optional Wi-Fi and HSDPA connectivity."", 'target_applications': ['Digital Signage', 'Retail', 'Hospitality', 'Transportation']}","{'extract_features': [{'input_tokens': 1450, 'output_tokens': 1038, 'time_taken': 13.02335000038147}], 'store_and_chunk_data': [{'input_tokens': 0, 'output_tokens': 0, 'time_taken': 2.3851099014282227}]}",3380
